ECG-Lead3ElectricPotential(mV),PulseOximetry,PulmonaryArterialCarbonDioxidePressure(mmHg),HeartRate(1/min),DiastolicArterialPressure(mmHg),SystolicArterialPressure(mmHg),OxygenSaturation,EndTidalCarbonDioxideFraction,RespirationRate(1/min),CoreTemperature(degC),PulmonaryArterialOxygenPressure(mmHg),InspiratoryExpiratoryRatio,MechanicalVentilator-AirwayPressure(cmH2O),MechanicalVentilator-InspiratoryFlow(L/s),MechanicalVentilator-ExpiratoryFlow(L/s),MechanicalVentilator-TotalLungVolume(L),MechanicalVentilator-PeakInspiratoryPressure(cmH2O),MechanicalVentilator-TidalVolume(mL),MechanicalVentilator-TotalPulmonaryVentilation(L/s),MechanicalVentilator-MeanAirwayPressure(cmH2O),MechanicalVentilator-RespirationRate(1/min),MechanicalVentilator-EndTidalCarbonDioxideFraction,MechanicalVentilator-StaticPulmonaryCompliance(L/cmH2O),MechanicalVentilator-DynamicPulmonaryCompliance(L/cmH2O),MechanicalVentilator-InspiratoryExpiratoryRatio,MechanicalVentilator-PlateauPressure(cmH2O)
0.020605,0.973248,45.393054,70.671722,73.669415,114.523269,0.983356,0.048118,22.222222,37.05372,37.979752,0.8,7.242291,-0.154144,0.154144,0.08067,15.373692,290.615939,0.059213,12.782552,25.862069,0.040789,0.016866,0.016866,2.222222,15.373692
-0.048286,0.975205,51.042399,72.710279,73.329743,113.273465,0.970513,0.046926,17.964072,37.064589,39.680815,1.113924,1.082227,0.029915,-0.029915,-0.074228,1.081963,120.76752,0.05161,1.065703,25.641026,0.011904,3.444523,3.444523,2.441176,1.081963
0.161,0.961207,50.125932,94.693217,79.081854,113.642061,0.918186,0.050719,18.987342,37.073224,38.168521,1.393939,29.08566,-0.141653,0.141653,0.40118,29.088671,337.133955,0.106688,26.75893,18.987342,0.047221,0.030479,0.030479,3.9375,29.088671
0.022429,0.949733,49.457837,72.987524,74.161652,114.288185,0.955669,0.050911,24.793388,37.081125,37.356244,1.520833,18.792667,0.18051,-0.18051,0.324686,18.799018,394.555981,0.16304,13.583746,24.793388,0.047479,0.030034,0.030034,1.574468,18.799018
0.131186,0.954277,54.759801,71.165161,74.019069,115.230961,0.964311,0.050115,20.408163,37.091224,39.288587,1.333333,14.265963,0.001409,-0.001409,-0.001597,14.430469,62.71858,0.021333,13.876682,20.408163,0.038122,0.089607,0.089607,0.278261,14.430469
-0.079116,0.958652,60.479161,70.705143,73.656736,114.671133,0.955118,0.054642,21.582734,37.101113,41.049466,1.355932,8.866958,0.160399,-0.160399,0.033103,8.89907,201.060416,0.072848,8.738102,21.73913,0.043517,0.445379,0.445379,2.136364,8.89907
0.135923,0.948131,64.282793,77.051213,75.061967,113.958178,0.927737,0.056847,22.900763,37.110556,40.74653,1.381818,2.459676,-0.077361,0.077361,0.248564,2.481574,211.438774,0.080702,2.416372,22.900763,0.046866,1.495466,1.495466,2.540541,2.481574
0.668,0.966399,64.284592,65.022987,72.28717,115.697524,0.996824,0.055786,20.547945,37.119297,42.842672,1.433333,13.240863,0.180803,-0.180803,0.264156,13.275718,209.031244,0.071586,11.85535,20.547945,0.049516,0.023494,0.023494,5.636364,13.275718
-0.044455,0.981184,63.145024,69.74352,73.269196,115.438769,0.979387,0.053318,19.354839,37.127877,44.078646,1.348485,24.949669,0.384168,-0.384168,0.062511,25.000997,392.933738,0.126753,21.776814,19.354839,0.049183,0.051936,0.051936,1.384615,25.000997
-0.09,0.969306,67.154768,77.589789,75.594497,115.662537,0.92035,0.058839,22.900763,37.137258,43.23773,1.425926,10.460639,0.245139,-0.245139,0.173104,11.028286,-1.899038,-0.000774,10.523035,22.900763,0.048967,-0.003829,-0.003829,0.082645,11.028286
